Price,Close,High,Low,Open,Volume
Date,,,,,
1998-08-31,2933.85009765625,2946.969970703130,2882.929931640630,2919.360107421880,0
1998-09-01,2862.550048828130,2882.8798828125,2850.300048828130,2862.239990234380,0
1998-09-02,2886.909912109380,2900.4599609375,2867.219970703130,2900.14990234375,0
1998-09-03,2918.889892578130,2921.340087890630,2879.1298828125,2885.300048828130,0
1998-09-04,2975.10009765625,2985.489990234380,2926.739990234380,2930.6298828125,0
1998-09-07,3051.929931640630,3063.530029296880,3016.510009765630,3016.510009765630,0
1998-09-08,3096.10009765625,3105.239990234380,3041.090087890630,3054.31005859375,0
1998-09-09,3097.1201171875,3144.570068359380,3091.31005859375,3125.18994140625,0
1998-09-10,3108.669921875,3132.419921875,3079.3798828125,3090.239990234380,0
1998-09-11,3083.56005859375,3092.93994140625,3061.389892578130,3069.3798828125,0
1998-09-14,3167.219970703130,3169.550048828130,3133.010009765630,3134.679931640630,0
1998-09-15,3162.179931640630,3176.419921875,3151.18994140625,3154.010009765630,0
1998-09-16,3138.659912109380,3185.469970703130,3131.840087890630,3168.860107421880,0
1998-09-17,3121.300048828130,3161.3701171875,3118.159912109380,3147.530029296880,0
1998-09-18,3090.719970703130,3108.830078125,3083.860107421880,3107.27001953125,0
1998-09-21,3080.909912109380,3132.590087890630,3080.7099609375,3111.02001953125,0
1998-09-22,3095.25,3103.8701171875,3070.679931640630,3091.0400390625,0
1998-09-23,3135.419921875,3135.7099609375,3106.14990234375,3111.179931640630,0
1998-09-24,3225.300048828130,3232.1298828125,3163.22998046875,3163.22998046875,0
1998-09-25,3223.570068359380,3266.7099609375,3215.77001953125,3230.97998046875,0
1998-09-28,3206.919921875,3265.719970703130,3205.949951171880,3257.989990234380,0
1998-09-29,3146.830078125,3235.030029296880,3125.469970703130,3230.840087890630,0
1998-09-30,3102.2900390625,3135.280029296880,3084.820068359380,3132.199951171880,0
1998-10-05,2878.070068359380,3036.14990234375,2877.919921875,3036.14990234375,0
1998-10-06,2919.739990234380,2919.739990234380,2820.77001953125,2873.969970703130,0
1998-10-07,3008.6298828125,3010.64990234375,2939.6201171875,2940.1298828125,0
1998-10-08,2896.139892578130,3045.5400390625,2896.139892578130,3029.10009765625,0
1998-10-09,2916.659912109380,2960.820068359380,2885.669921875,2916.340087890630,0
1998-10-12,2872.47998046875,2926.25,2850.5,2914.5,0
1998-10-13,2832.030029296880,2865.239990234380,2785.409912109380,2849.10009765625,0
1998-10-14,2890.719970703130,2909.429931640630,2799.0,2831.27001953125,0
1998-10-15,2857.27001953125,2895.280029296880,2848.550048828130,2875.06005859375,0
1998-10-16,2848.110107421880,2895.570068359380,2837.97998046875,2889.699951171880,0
1998-10-19,2851.580078125,2871.7099609375,2848.110107421880,2860.93994140625,0
1998-10-20,2764.159912109380,2845.860107421880,2753.340087890630,2845.860107421880,0
1998-10-23,2784.4599609375,2798.8798828125,2741.219970703130,2757.0400390625,0
1998-10-26,2889.7099609375,2922.320068359380,2878.97998046875,2908.510009765630,0
1998-10-27,2895.840087890630,2895.89990234375,2856.320068359380,2891.360107421880,0
1998-10-28,2833.0400390625,2913.6201171875,2832.949951171880,2913.6201171875,0
1998-10-29,2845.159912109380,2845.510009765630,2787.89990234375,2825.4599609375,0
1998-10-30,2812.489990234380,2862.31005859375,2812.489990234380,2844.14990234375,0
1998-11-02,2811.43994140625,2822.2900390625,2774.110107421880,2820.22998046875,0
1998-11-03,2812.06005859375,2831.719970703130,2809.010009765630,2815.669921875,0
1998-11-05,2842.510009765630,2844.47998046875,2812.52001953125,2817.81005859375,0
1998-11-06,2884.3701171875,2885.75,2849.580078125,2849.580078125,0
1998-11-09,2983.669921875,3004.429931640630,2954.570068359380,2955.77001953125,0
1998-11-10,3004.669921875,3005.2900390625,2963.580078125,2992.469970703130,0
1998-11-11,2976.169921875,3027.199951171880,2974.610107421880,3017.449951171880,0
1998-11-12,3009.570068359380,3010.840087890630,2944.06005859375,2973.31005859375,0
1998-11-13,2976.1201171875,3019.0,2973.489990234380,2976.280029296880,0
